i r tft rl num fbm tom
195.0 0.0000 0.0000 0.0763 0.0000 0.4387 0.4850
196.0 0.0000 0.0000 0.0759 0.0000 0.4388 0.4853
197.0 0.0000 0.0000 0.0754 0.0000 0.4389 0.4857
198.0 0.0000 0.0000 0.0750 0.0000 0.4389 0.4861
199.0 0.0000 0.0000 0.0745 0.0000 0.4390 0.4864
200.0 0.0000 0.0000 0.0741 0.0000 0.4391 0.4868
201.0 0.0000 0.0000 0.0737 0.0000 0.4392 0.4872
202.0 0.0000 0.0000 0.0732 0.0000 0.4393 0.4875
203.0 0.0000 0.0000 0.0728 0.0000 0.4393 0.4879
204.0 0.0000 0.0000 0.0723 0.0000 0.4394 0.4882
205.0 0.0000 0.0000 0.0719 0.0000 0.4395 0.4886
206.0 0.0000 0.0000 0.0715 0.0000 0.4396 0.4889
207.0 0.0000 0.0000 0.0711 0.0000 0.4396 0.4893
208.0 0.0000 0.0000 0.0707 0.0000 0.4397 0.4896
209.0 0.0000 0.0000 0.0702 0.0000 0.4398 0.4900
210.0 0.0000 0.0000 0.0698 0.0000 0.4398 0.4903
211.0 0.0000 0.0000 0.0694 0.0000 0.4399 0.4907
212.0 0.0000 0.0000 0.0690 0.0000 0.4400 0.4910
213.0 0.0000 0.0000 0.0686 0.0000 0.4400 0.4914
214.0 0.0000 0.0000 0.0682 0.0000 0.4401 0.4917
215.0 0.0000 0.0000 0.0678 0.0000 0.4401 0.4921
216.0 0.0000 0.0000 0.0674 0.0000 0.4402 0.4924
217.0 0.0000 0.0000 0.0670 0.0000 0.4403 0.4927
218.0 0.0000 0.0000 0.0666 0.0000 0.4403 0.4931
219.0 0.0000 0.0000 0.0662 0.0000 0.4404 0.4934
220.0 0.0000 0.0000 0.0658 0.0000 0.4404 0.4937
221.0 0.0000 0.0000 0.0655 0.0000 0.4405 0.4941
222.0 0.0000 0.0000 0.0651 0.0000 0.4405 0.4944
223.0 0.0000 0.0000 0.0647 0.0000 0.4406 0.4947
224.0 0.0000 0.0000 0.0643 0.0000 0.4406 0.4951
225.0 0.0000 0.0000 0.0639 0.0000 0.4407 0.4954
226.0 0.0000 0.0000 0.0636 0.0000 0.4407 0.4957
227.0 0.0000 0.0000 0.0632 0.0000 0.4407 0.4961
228.0 0.0000 0.0000 0.0628 0.0000 0.4408 0.4964
229.0 0.0000 0.0000 0.0625 0.0000 0.4408 0.4967
230.0 0.0000 0.0000 0.0621 0.0000 0.4409 0.4970
231.0 0.0000 0.0000 0.0618 0.0000 0.4409 0.4974
232.0 0.0000 0.0000 0.0614 0.0000 0.4409 0.4977
233.0 0.0000 0.0000 0.0610 0.0000 0.4410 0.4980
234.0 0.0000 0.0000 0.0607 0.0000 0.4410 0.4983
235.0 0.0000 0.0000 0.0603 0.0000 0.4410 0.4986
236.0 0.0000 0.0000 0.0600 0.0000 0.4411 0.4990
237.0 0.0000 0.0000 0.0596 0.0000 0.4411 0.4993
238.0 0.0000 0.0000 0.0593 0.0000 0.4411 0.4996
239.0 0.0000 0.0000 0.0590 0.0000 0.4411 0.4999
240.0 0.0000 0.0000 0.0586 0.0000 0.4412 0.5002
241.0 0.0000 0.0000 0.0583 0.0000 0.4412 0.5005
242.0 0.0000 0.0000 0.0580 0.0000 0.4412 0.5008
243.0 0.0000 0.0000 0.0576 0.0000 0.4412 0.5011
244.0 0.0000 0.0000 0.0573 0.0000 0.4413 0.5014
245.0 0.0000 0.0000 0.0570 0.0000 0.4413 0.5018
246.0 0.0000 0.0000 0.0566 0.0000 0.4413 0.5021
247.0 0.0000 0.0000 0.0563 0.0000 0.4413 0.5024
248.0 0.0000 0.0000 0.0560 0.0000 0.4413 0.5027
249.0 0.0000 0.0000 0.0557 0.0000 0.4413 0.5030
