i r tft rl num fbm tom
216.0 0.0000 0.0000 0.0000 0.0000 0.1391 0.8609
217.0 0.0000 0.0000 0.0000 0.0000 0.1381 0.8619
218.0 0.0000 0.0000 0.0000 0.0000 0.1372 0.8628
219.0 0.0000 0.0000 0.0000 0.0000 0.1363 0.8637
220.0 0.0000 0.0000 0.0000 0.0000 0.1354 0.8646
221.0 0.0000 0.0000 0.0000 0.0000 0.1345 0.8655
222.0 0.0000 0.0000 0.0000 0.0000 0.1336 0.8664
223.0 0.0000 0.0000 0.0000 0.0000 0.1327 0.8673
224.0 0.0000 0.0000 0.0000 0.0000 0.1319 0.8681
225.0 0.0000 0.0000 0.0000 0.0000 0.1310 0.8690
226.0 0.0000 0.0000 0.0000 0.0000 0.1301 0.8699
227.0 0.0000 0.0000 0.0000 0.0000 0.1292 0.8708
228.0 0.0000 0.0000 0.0000 0.0000 0.1284 0.8716
229.0 0.0000 0.0000 0.0000 0.0000 0.1275 0.8725
230.0 0.0000 0.0000 0.0000 0.0000 0.1267 0.8733
231.0 0.0000 0.0000 0.0000 0.0000 0.1258 0.8742
232.0 0.0000 0.0000 0.0000 0.0000 0.1250 0.8750
233.0 0.0000 0.0000 0.0000 0.0000 0.1241 0.8759
234.0 0.0000 0.0000 0.0000 0.0000 0.1233 0.8767
235.0 0.0000 0.0000 0.0000 0.0000 0.1225 0.8775
236.0 0.0000 0.0000 0.0000 0.0000 0.1216 0.8784
237.0 0.0000 0.0000 0.0000 0.0000 0.1208 0.8792
238.0 0.0000 0.0000 0.0000 0.0000 0.1200 0.8800
239.0 0.0000 0.0000 0.0000 0.0000 0.1192 0.8808
240.0 0.0000 0.0000 0.0000 0.0000 0.1184 0.8816
241.0 0.0000 0.0000 0.0000 0.0000 0.1175 0.8825
242.0 0.0000 0.0000 0.0000 0.0000 0.1167 0.8833
243.0 0.0000 0.0000 0.0000 0.0000 0.1160 0.8840
244.0 0.0000 0.0000 0.0000 0.0000 0.1152 0.8848
245.0 0.0000 0.0000 0.0000 0.0000 0.1144 0.8856
246.0 0.0000 0.0000 0.0000 0.0000 0.1136 0.8864
247.0 0.0000 0.0000 0.0000 0.0000 0.1128 0.8872
248.0 0.0000 0.0000 0.0000 0.0000 0.1120 0.8880
249.0 0.0000 0.0000 0.0000 0.0000 0.1113 0.8887
