i r tft rl num fbm tom
175.0 0.0000 0.0000 0.0000 0.0000 0.4918 0.5082
176.0 0.0000 0.0000 0.0000 0.0000 0.4917 0.5082
177.0 0.0000 0.0000 0.0000 0.0000 0.4917 0.5083
178.0 0.0000 0.0000 0.0000 0.0000 0.4916 0.5083
179.0 0.0000 0.0000 0.0000 0.0000 0.4916 0.5084
180.0 0.0000 0.0000 0.0000 0.0000 0.4915 0.5085
181.0 0.0000 0.0000 0.0000 0.0000 0.4915 0.5085
182.0 0.0000 0.0000 0.0000 0.0000 0.4914 0.5086
183.0 0.0000 0.0000 0.0000 0.0000 0.4914 0.5086
184.0 0.0000 0.0000 0.0000 0.0000 0.4913 0.5087
185.0 0.0000 0.0000 0.0000 0.0000 0.4913 0.5087
186.0 0.0000 0.0000 0.0000 0.0000 0.4912 0.5088
187.0 0.0000 0.0000 0.0000 0.0000 0.4912 0.5088
188.0 0.0000 0.0000 0.0000 0.0000 0.4911 0.5089
189.0 0.0000 0.0000 0.0000 0.0000 0.4910 0.5089
190.0 0.0000 0.0000 0.0000 0.0000 0.4910 0.5090
191.0 0.0000 0.0000 0.0000 0.0000 0.4909 0.5091
192.0 0.0000 0.0000 0.0000 0.0000 0.4909 0.5091
193.0 0.0000 0.0000 0.0000 0.0000 0.4908 0.5092
194.0 0.0000 0.0000 0.0000 0.0000 0.4908 0.5092
195.0 0.0000 0.0000 0.0000 0.0000 0.4907 0.5093
196.0 0.0000 0.0000 0.0000 0.0000 0.4907 0.5093
197.0 0.0000 0.0000 0.0000 0.0000 0.4906 0.5094
198.0 0.0000 0.0000 0.0000 0.0000 0.4906 0.5094
199.0 0.0000 0.0000 0.0000 0.0000 0.4905 0.5095
200.0 0.0000 0.0000 0.0000 0.0000 0.4904 0.5095
201.0 0.0000 0.0000 0.0000 0.0000 0.4904 0.5096
202.0 0.0000 0.0000 0.0000 0.0000 0.4903 0.5097
203.0 0.0000 0.0000 0.0000 0.0000 0.4903 0.5097
204.0 0.0000 0.0000 0.0000 0.0000 0.4902 0.5098
205.0 0.0000 0.0000 0.0000 0.0000 0.4902 0.5098
206.0 0.0000 0.0000 0.0000 0.0000 0.4901 0.5099
207.0 0.0000 0.0000 0.0000 0.0000 0.4901 0.5099
208.0 0.0000 0.0000 0.0000 0.0000 0.4900 0.5100
209.0 0.0000 0.0000 0.0000 0.0000 0.4900 0.5100
210.0 0.0000 0.0000 0.0000 0.0000 0.4899 0.5101
211.0 0.0000 0.0000 0.0000 0.0000 0.4899 0.5101
212.0 0.0000 0.0000 0.0000 0.0000 0.4898 0.5102
213.0 0.0000 0.0000 0.0000 0.0000 0.4897 0.5103
214.0 0.0000 0.0000 0.0000 0.0000 0.4897 0.5103
215.0 0.0000 0.0000 0.0000 0.0000 0.4896 0.5104
216.0 0.0000 0.0000 0.0000 0.0000 0.4896 0.5104
217.0 0.0000 0.0000 0.0000 0.0000 0.4895 0.5105
218.0 0.0000 0.0000 0.0000 0.0000 0.4895 0.5105
219.0 0.0000 0.0000 0.0000 0.0000 0.4894 0.5106
220.0 0.0000 0.0000 0.0000 0.0000 0.4894 0.5106
221.0 0.0000 0.0000 0.0000 0.0000 0.4893 0.5107
222.0 0.0000 0.0000 0.0000 0.0000 0.4893 0.5107
223.0 0.0000 0.0000 0.0000 0.0000 0.4892 0.5108
224.0 0.0000 0.0000 0.0000 0.0000 0.4892 0.5108
225.0 0.0000 0.0000 0.0000 0.0000 0.4891 0.5109
226.0 0.0000 0.0000 0.0000 0.0000 0.4890 0.5110
227.0 0.0000 0.0000 0.0000 0.0000 0.4890 0.5110
228.0 0.0000 0.0000 0.0000 0.0000 0.4889 0.5111
229.0 0.0000 0.0000 0.0000 0.0000 0.4889 0.5111
230.0 0.0000 0.0000 0.0000 0.0000 0.4888 0.5112
231.0 0.0000 0.0000 0.0000 0.0000 0.4888 0.5112
232.0 0.0000 0.0000 0.0000 0.0000 0.4887 0.5113
