i r tft rl num fbm tom
185.0 0.0000 0.0000 0.9986 0.0000 0.0000 0.0014
186.0 0.0000 0.0000 0.9986 0.0000 0.0000 0.0014
187.0 0.0000 0.0000 0.9987 0.0000 0.0000 0.0013
188.0 0.0000 0.0000 0.9987 0.0000 0.0000 0.0013
189.0 0.0000 0.0000 0.9988 0.0000 0.0000 0.0012
190.0 0.0000 0.0000 0.9988 0.0000 0.0000 0.0012
191.0 0.0000 0.0000 0.9989 0.0000 0.0000 0.0011
192.0 0.0000 0.0000 0.9989 0.0000 0.0000 0.0011
193.0 0.0000 0.0000 0.9989 0.0000 0.0000 0.0011
194.0 0.0000 0.0000 0.9990 0.0000 0.0000 0.0010
195.0 0.0000 0.0000 0.9990 0.0000 0.0000 0.0010
196.0 0.0000 0.0000 0.9990 0.0000 0.0000 0.0010
197.0 0.0000 0.0000 0.9991 0.0000 0.0000 0.0009
198.0 0.0000 0.0000 0.9991 0.0000 0.0000 0.0009
199.0 0.0000 0.0000 0.9991 0.0000 0.0000 0.0009
200.0 0.0000 0.0000 0.9992 0.0000 0.0000 0.0008
201.0 0.0000 0.0000 0.9992 0.0000 0.0000 0.0008
202.0 0.0000 0.0000 0.9992 0.0000 0.0000 0.0008
203.0 0.0000 0.0000 0.9992 0.0000 0.0000 0.0008
204.0 0.0000 0.0000 0.9993 0.0000 0.0000 0.0007
205.0 0.0000 0.0000 0.9993 0.0000 0.0000 0.0007
206.0 0.0000 0.0000 0.9993 0.0000 0.0000 0.0007
207.0 0.0000 0.0000 0.9993 0.0000 0.0000 0.0007
208.0 0.0000 0.0000 0.9994 0.0000 0.0000 0.0006
209.0 0.0000 0.0000 0.9994 0.0000 0.0000 0.0006
210.0 0.0000 0.0000 0.9994 0.0000 0.0000 0.0006
211.0 0.0000 0.0000 0.9994 0.0000 0.0000 0.0006
212.0 0.0000 0.0000 0.9995 0.0000 0.0000 0.0005
213.0 0.0000 0.0000 0.9995 0.0000 0.0000 0.0005
214.0 0.0000 0.0000 0.9995 0.0000 0.0000 0.0005
215.0 0.0000 0.0000 0.9995 0.0000 0.0000 0.0005
216.0 0.0000 0.0000 0.9995 0.0000 0.0000 0.0005
217.0 0.0000 0.0000 0.9995 0.0000 0.0000 0.0005
218.0 0.0000 0.0000 0.9996 0.0000 0.0000 0.0004
219.0 0.0000 0.0000 0.9996 0.0000 0.0000 0.0004
220.0 0.0000 0.0000 0.9996 0.0000 0.0000 0.0004
221.0 0.0000 0.0000 0.9996 0.0000 0.0000 0.0004
222.0 0.0000 0.0000 0.9996 0.0000 0.0000 0.0004
223.0 0.0000 0.0000 0.9996 0.0000 0.0000 0.0004
224.0 0.0000 0.0000 0.9996 0.0000 0.0000 0.0004
225.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
226.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
227.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
228.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
229.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
230.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
231.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
232.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
233.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
234.0 0.0000 0.0000 0.9997 0.0000 0.0000 0.0003
235.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
236.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
237.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
238.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
239.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
240.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
241.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
242.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
243.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
244.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
245.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
246.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
247.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
248.0 0.0000 0.0000 0.9998 0.0000 0.0000 0.0002
249.0 0.0000 0.0000 0.9999 0.0000 0.0000 0.0001
