i r tft num fbm rl tom
195.0 0.0000 0.0001 0.3139 0.3082 0.0763 0.3015
196.0 0.0000 0.0001 0.3141 0.3084 0.0758 0.3017
197.0 0.0000 0.0001 0.3142 0.3085 0.0753 0.3018
198.0 0.0000 0.0001 0.3144 0.3087 0.0748 0.3020
199.0 0.0000 0.0001 0.3146 0.3089 0.0743 0.3021
200.0 0.0000 0.0001 0.3148 0.3090 0.0738 0.3023
201.0 0.0000 0.0001 0.3150 0.3092 0.0733 0.3024
202.0 0.0000 0.0001 0.3151 0.3093 0.0729 0.3026
203.0 0.0000 0.0001 0.3153 0.3095 0.0724 0.3027
204.0 0.0000 0.0001 0.3155 0.3096 0.0719 0.3029
205.0 0.0000 0.0001 0.3157 0.3098 0.0714 0.3030
206.0 0.0000 0.0001 0.3158 0.3100 0.0710 0.3031
207.0 0.0000 0.0001 0.3160 0.3101 0.0705 0.3033
208.0 0.0000 0.0001 0.3162 0.3103 0.0701 0.3034
209.0 0.0000 0.0001 0.3164 0.3104 0.0696 0.3036
210.0 0.0000 0.0001 0.3165 0.3106 0.0691 0.3037
211.0 0.0000 0.0001 0.3167 0.3107 0.0687 0.3038
212.0 0.0000 0.0001 0.3169 0.3109 0.0682 0.3040
213.0 0.0000 0.0001 0.3170 0.3110 0.0678 0.3041
214.0 0.0000 0.0001 0.3172 0.3112 0.0673 0.3042
215.0 0.0000 0.0001 0.3174 0.3113 0.0669 0.3044
216.0 0.0000 0.0001 0.3175 0.3114 0.0665 0.3045
217.0 0.0000 0.0001 0.3177 0.3116 0.0660 0.3046
218.0 0.0000 0.0001 0.3179 0.3117 0.0656 0.3048
219.0 0.0000 0.0000 0.3180 0.3119 0.0652 0.3049
220.0 0.0000 0.0000 0.3182 0.3120 0.0647 0.3050
221.0 0.0000 0.0000 0.3183 0.3122 0.0643 0.3052
222.0 0.0000 0.0000 0.3185 0.3123 0.0639 0.3053
223.0 0.0000 0.0000 0.3187 0.3124 0.0635 0.3054
224.0 0.0000 0.0000 0.3188 0.3126 0.0630 0.3055
225.0 0.0000 0.0000 0.3190 0.3127 0.0626 0.3057
226.0 0.0000 0.0000 0.3191 0.3128 0.0622 0.3058
227.0 0.0000 0.0000 0.3193 0.3130 0.0618 0.3059
228.0 0.0000 0.0000 0.3194 0.3131 0.0614 0.3060
229.0 0.0000 0.0000 0.3196 0.3132 0.0610 0.3062
230.0 0.0000 0.0000 0.3197 0.3134 0.0606 0.3063
231.0 0.0000 0.0000 0.3199 0.3135 0.0602 0.3064
232.0 0.0000 0.0000 0.3200 0.3136 0.0598 0.3065
233.0 0.0000 0.0000 0.3202 0.3138 0.0594 0.3066
234.0 0.0000 0.0000 0.3203 0.3139 0.0590 0.3068
235.0 0.0000 0.0000 0.3205 0.3140 0.0586 0.3069
236.0 0.0000 0.0000 0.3206 0.3142 0.0582 0.3070
237.0 0.0000 0.0000 0.3208 0.3143 0.0578 0.3071
238.0 0.0000 0.0000 0.3209 0.3144 0.0574 0.3072
239.0 0.0000 0.0000 0.3210 0.3145 0.0571 0.3073
240.0 0.0000 0.0000 0.3212 0.3147 0.0567 0.3074
241.0 0.0000 0.0000 0.3213 0.3148 0.0563 0.3076
242.0 0.0000 0.0000 0.3215 0.3149 0.0559 0.3077
243.0 0.0000 0.0000 0.3216 0.3150 0.0556 0.3078
244.0 0.0000 0.0000 0.3217 0.3152 0.0552 0.3079
245.0 0.0000 0.0000 0.3219 0.3153 0.0548 0.3080
246.0 0.0000 0.0000 0.3220 0.3154 0.0545 0.3081
247.0 0.0000 0.0000 0.3221 0.3155 0.0541 0.3082
248.0 0.0000 0.0000 0.3223 0.3156 0.0537 0.3083
249.0 0.0000 0.0000 0.3224 0.3157 0.0534 0.3084
