i r tft num fbm rl tom
175.0 0.0000 0.0000 0.0000 0.0000 0.9945 0.0055
176.0 0.0000 0.0000 0.0000 0.0000 0.9946 0.0054
177.0 0.0000 0.0000 0.0000 0.0000 0.9948 0.0052
178.0 0.0000 0.0000 0.0000 0.0000 0.9949 0.0051
179.0 0.0000 0.0000 0.0000 0.0000 0.9951 0.0049
180.0 0.0000 0.0000 0.0000 0.0000 0.9952 0.0048
181.0 0.0000 0.0000 0.0000 0.0000 0.9953 0.0047
182.0 0.0000 0.0000 0.0000 0.0000 0.9955 0.0045
183.0 0.0000 0.0000 0.0000 0.0000 0.9956 0.0044
184.0 0.0000 0.0000 0.0000 0.0000 0.9957 0.0043
185.0 0.0000 0.0000 0.0000 0.0000 0.9958 0.0042
186.0 0.0000 0.0000 0.0000 0.0000 0.9959 0.0041
187.0 0.0000 0.0000 0.0000 0.0000 0.9960 0.0040
188.0 0.0000 0.0000 0.0000 0.0000 0.9962 0.0038
189.0 0.0000 0.0000 0.0000 0.0000 0.9963 0.0037
190.0 0.0000 0.0000 0.0000 0.0000 0.9964 0.0036
191.0 0.0000 0.0000 0.0000 0.0000 0.9965 0.0035
192.0 0.0000 0.0000 0.0000 0.0000 0.9966 0.0034
193.0 0.0000 0.0000 0.0000 0.0000 0.9967 0.0033
194.0 0.0000 0.0000 0.0000 0.0000 0.9967 0.0033
195.0 0.0000 0.0000 0.0000 0.0000 0.9968 0.0032
196.0 0.0000 0.0000 0.0000 0.0000 0.9969 0.0031
197.0 0.0000 0.0000 0.0000 0.0000 0.9970 0.0030
198.0 0.0000 0.0000 0.0000 0.0000 0.9971 0.0029
199.0 0.0000 0.0000 0.0000 0.0000 0.9972 0.0028
200.0 0.0000 0.0000 0.0000 0.0000 0.9972 0.0028
201.0 0.0000 0.0000 0.0000 0.0000 0.9973 0.0027
202.0 0.0000 0.0000 0.0000 0.0000 0.9974 0.0026
203.0 0.0000 0.0000 0.0000 0.0000 0.9975 0.0025
204.0 0.0000 0.0000 0.0000 0.0000 0.9975 0.0025
205.0 0.0000 0.0000 0.0000 0.0000 0.9976 0.0024
206.0 0.0000 0.0000 0.0000 0.0000 0.9977 0.0023
207.0 0.0000 0.0000 0.0000 0.0000 0.9977 0.0023
208.0 0.0000 0.0000 0.0000 0.0000 0.9978 0.0022
209.0 0.0000 0.0000 0.0000 0.0000 0.9979 0.0021
210.0 0.0000 0.0000 0.0000 0.0000 0.9979 0.0021
211.0 0.0000 0.0000 0.0000 0.0000 0.9980 0.0020
212.0 0.0000 0.0000 0.0000 0.0000 0.9980 0.0020
213.0 0.0000 0.0000 0.0000 0.0000 0.9981 0.0019
214.0 0.0000 0.0000 0.0000 0.0000 0.9981 0.0019
215.0 0.0000 0.0000 0.0000 0.0000 0.9982 0.0018
216.0 0.0000 0.0000 0.0000 0.0000 0.9982 0.0018
217.0 0.0000 0.0000 0.0000 0.0000 0.9983 0.0017
218.0 0.0000 0.0000 0.0000 0.0000 0.9983 0.0017
219.0 0.0000 0.0000 0.0000 0.0000 0.9984 0.0016
220.0 0.0000 0.0000 0.0000 0.0000 0.9984 0.0016
221.0 0.0000 0.0000 0.0000 0.0000 0.9985 0.0015
222.0 0.0000 0.0000 0.0000 0.0000 0.9985 0.0015
223.0 0.0000 0.0000 0.0000 0.0000 0.9985 0.0015
224.0 0.0000 0.0000 0.0000 0.0000 0.9986 0.0014
225.0 0.0000 0.0000 0.0000 0.0000 0.9986 0.0014
226.0 0.0000 0.0000 0.0000 0.0000 0.9987 0.0013
227.0 0.0000 0.0000 0.0000 0.0000 0.9987 0.0013
228.0 0.0000 0.0000 0.0000 0.0000 0.9987 0.0013
229.0 0.0000 0.0000 0.0000 0.0000 0.9988 0.0012
230.0 0.0000 0.0000 0.0000 0.0000 0.9988 0.0012
231.0 0.0000 0.0000 0.0000 0.0000 0.9988 0.0012
232.0 0.0000 0.0000 0.0000 0.0000 0.9989 0.0011
233.0 0.0000 0.0000 0.0000 0.0000 0.9989 0.0011
234.0 0.0000 0.0000 0.0000 0.0000 0.9989 0.0011
235.0 0.0000 0.0000 0.0000 0.0000 0.9990 0.0010
236.0 0.0000 0.0000 0.0000 0.0000 0.9990 0.0010
237.0 0.0000 0.0000 0.0000 0.0000 0.9990 0.0010
238.0 0.0000 0.0000 0.0000 0.0000 0.9990 0.0010
239.0 0.0000 0.0000 0.0000 0.0000 0.9991 0.0009
240.0 0.0000 0.0000 0.0000 0.0000 0.9991 0.0009
241.0 0.0000 0.0000 0.0000 0.0000 0.9991 0.0009
242.0 0.0000 0.0000 0.0000 0.0000 0.9991 0.0009
243.0 0.0000 0.0000 0.0000 0.0000 0.9992 0.0008
244.0 0.0000 0.0000 0.0000 0.0000 0.9992 0.0008
245.0 0.0000 0.0000 0.0000 0.0000 0.9992 0.0008
246.0 0.0000 0.0000 0.0000 0.0000 0.9992 0.0008
247.0 0.0000 0.0000 0.0000 0.0000 0.9993 0.0007
248.0 0.0000 0.0000 0.0000 0.0000 0.9993 0.0007
249.0 0.0000 0.0000 0.0000 0.0000 0.9993 0.0007
